Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,65.38,58.33,100.0,0.0,100.0
Dizziness,53.12,50.0,83.33,33.33,40.0
Constipation,67.86,66.67,50.0,66.67,85.71
Eye Infection,54.55,42.11,66.67,66.67,80.0
Skin Lesion,48.65,33.33,85.71,50.0,50.0
Burnout,75.86,69.23,85.71,66.67,83.33
Sore Throat,82.35,90.91,81.82,33.33,88.89
Back Pain,76.92,76.19,75.0,100.0,75.0
Fatigue,57.45,57.14,66.67,25.0,66.67
Migraine,73.17,63.64,87.5,66.67,87.5
Average,65.53099999999999,60.754999999999995,78.241,50.834,75.71
