Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,86.21,75.0,100.0,75.0,100.0
Earache,85.19,75.0,100.0,80.0,100.0
Eye Infection,91.43,83.33,100.0,100.0,100.0
Sore Throat,93.94,90.91,90.91,100.0,100.0
Skin Lesion,78.38,77.78,85.71,50.0,87.5
Dizziness,93.75,100.0,100.0,66.67,80.0
Fatigue,72.34,68.97,75.0,75.0,83.33
Migraine,92.11,89.47,100.0,100.0,87.5
Back Pain,87.5,85.71,75.0,100.0,100.0
Burnout,89.19,92.31,100.0,66.67,85.71
Average,87.00399999999999,83.848,92.66199999999999,81.334,92.404
