Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Back Pain,82.93,100.0,70.0,0.0,91.67
Burnout,87.5,93.75,100.0,20.0,100.0
Constipation,81.48,100.0,75.0,0.0,87.5
Dizziness,76.67,76.47,66.67,100.0,83.33
Earache,80.0,100.0,100.0,0.0,55.56
Eye Infection,88.0,90.91,50.0,100.0,100.0
Fatique,77.78,94.74,88.89,0.0,50.0
Migraine,92.86,95.45,90.0,50.0,100.0
Skin Lesion,92.0,100.0,100.0,50.0,85.71
Sore Throat,94.44,100.0,92.86,100.0,88.89
Average,85.36600000000001,95.132,83.342,42.0,84.26599999999999
