Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Back Pain,97.73,100.0,100.0,100.0,93.33
Burnout,92.68,100.0,80.0,100.0,91.67
Constipation,88.89,75.0,100.0,100.0,100.0
Dizziness,89.29,93.75,100.0,100.0,66.67
Earache,95.83,90.0,100.0,100.0,100.0
Eye Infection,86.67,78.57,100.0,100.0,90.0
Fatique,91.67,85.0,100.0,100.0,100.0
Migraine,92.31,85.0,100.0,100.0,100.0
Skin Lesion,84.0,80.0,83.33,100.0,87.5
Sore Throat,100.0,100.0,100.0,100.0,100.0
Average,91.90700000000001,88.732,96.333,100.0,92.917
